date,temp_mean,temp_max,rh_mean,rh_hours_above_60,n_valid_hours,year,month,infection_risk
2020-04-01,2.9250000000000003,9.7,45.0,6,24,2020,4,0
2020-04-02,5.9125000000000005,14.1,44.541666666666664,5,24,2020,4,0
2020-04-03,7.220833333333334,11.7,57.791666666666664,10,24,2020,4,0
2020-04-04,8.612499999999999,14.6,55.208333333333336,9,24,2020,4,0
2020-04-05,10.924999999999999,18.4,47.541666666666664,8,24,2020,4,0
2020-04-06,12.987499999999999,21.9,44.541666666666664,5,24,2020,4,0
2020-04-07,14.825000000000001,22.9,47.333333333333336,9,24,2020,4,0
2020-04-08,15.479166666666666,22.5,46.791666666666664,8,24,2020,4,1
2020-04-09,15.174999999999999,23.2,46.541666666666664,8,24,2020,4,1
2020-04-10,15.858333333333334,22.3,47.0,7,24,2020,4,1
2020-04-11,13.445833333333333,20.3,40.916666666666664,4,24,2020,4,0
2020-04-12,14.237499999999999,22.9,47.0,6,24,2020,4,0
2020-04-13,9.475,17.3,62.75,13,24,2020,4,0
2020-04-14,4.8500000000000005,9.7,52.166666666666664,9,24,2020,4,0
2020-04-15,8.016666666666667,16.3,52.958333333333336,10,24,2020,4,0
2020-04-16,13.933333333333332,23.9,48.916666666666664,8,24,2020,4,0
2020-04-17,16.766666666666666,24.7,49.708333333333336,9,24,2020,4,1
2020-04-18,15.958333333333334,23.4,60.416666666666664,14,24,2020,4,1
2020-04-19,13.179166666666667,17.0,64.66666666666667,11,24,2020,4,0
2020-04-20,12.329166666666667,18.6,37.083333333333336,0,24,2020,4,0
2020-04-21,13.783333333333333,20.4,35.125,0,24,2020,4,0
2020-04-22,14.941666666666668,22.0,35.541666666666664,0,24,2020,4,0
2020-04-23,14.391666666666666,21.1,41.75,3,24,2020,4,0
2020-04-24,14.704166666666666,22.2,48.75,8,24,2020,4,0
2020-04-25,12.504166666666668,17.3,48.208333333333336,4,24,2020,4,0
2020-04-26,12.424999999999999,19.1,48.708333333333336,8,24,2020,4,0
2020-04-27,14.379166666666665,22.2,49.416666666666664,9,24,2020,4,0
2020-04-28,12.341666666666667,18.3,74.125,23,24,2020,4,0
2020-04-29,13.158333333333333,17.0,70.75,19,24,2020,4,0
2020-04-30,12.220833333333333,16.1,73.45833333333333,21,24,2020,4,0
2020-05-01,9.891666666666667,12.6,79.875,24,24,2020,5,0
2020-05-02,9.108333333333333,14.5,73.70833333333333,19,24,2020,5,0
2020-05-03,11.495833333333332,16.2,61.833333333333336,12,24,2020,5,0
