STATIONS_ID,MESS_DATUM,QN_9,TT_TU,RF_TU,eor
5705,2020-04-01 00:00:00,3,-1.8,59.0,eor
5705,2020-04-01 01:00:00,3,-2.1,60.0,eor
5705,2020-04-01 02:00:00,3,-3.0,64.0,eor
5705,2020-04-01 03:00:00,3,-3.2,64.0,eor
5705,2020-04-01 04:00:00,3,-3.6,68.0,eor
5705,2020-04-01 05:00:00,3,-4.2,72.0,eor
5705,2020-04-01 06:00:00,3,-2.9,66.0,eor
5705,2020-04-01 07:00:00,3,-0.4,57.0,eor
5705,2020-04-01 08:00:00,3,1.5,50.0,eor
5705,2020-04-01 09:00:00,3,4.0,45.0,eor
5705,2020-04-01 10:00:00,3,4.4,40.0,eor
5705,2020-04-01 11:00:00,3,6.2,35.0,eor
5705,2020-04-01 12:00:00,3,7.2,32.0,eor
5705,2020-04-01 13:00:00,3,8.6,28.0,eor
5705,2020-04-01 14:00:00,3,9.7,26.0,eor
5705,2020-04-01 15:00:00,3,9.3,26.0,eor
5705,2020-04-01 16:00:00,3,9.3,24.0,eor
5705,2020-04-01 17:00:00,3,8.6,27.0,eor
5705,2020-04-01 18:00:00,3,6.4,30.0,eor
5705,2020-04-01 19:00:00,3,5.6,31.0,eor
5705,2020-04-01 20:00:00,3,5.1,34.0,eor
5705,2020-04-01 21:00:00,3,3.3,42.0,eor
5705,2020-04-01 22:00:00,3,1.5,47.0,eor
5705,2020-04-01 23:00:00,3,0.7,53.0,eor
5705,2020-04-02 00:00:00,3,-0.4,58.0,eor
5705,2020-04-02 01:00:00,3,-0.9,58.0,eor
5705,2020-04-02 02:00:00,3,-1.2,62.0,eor
5705,2020-04-02 03:00:00,3,-1.8,66.0,eor
5705,2020-04-02 04:00:00,3,-2.5,69.0,eor
5705,2020-04-02 05:00:00,3,-3.2,72.0,eor
5705,2020-04-02 06:00:00,3,-2.4,69.0,eor
5705,2020-04-02 07:00:00,3,0.0,59.0,eor
5705,2020-04-02 08:00:00,3,2.7,51.0,eor
5705,2020-04-02 09:00:00,3,7.1,36.0,eor
5705,2020-04-02 10:00:00,3,8.7,26.0,eor
5705,2020-04-02 11:00:00,3,10.4,27.0,eor
5705,2020-04-02 12:00:00,3,11.6,28.0,eor
5705,2020-04-02 13:00:00,3,13.1,27.0,eor
5705,2020-04-02 14:00:00,3,13.2,23.0,eor
5705,2020-04-02 15:00:00,3,14.1,24.0,eor
5705,2020-04-02 16:00:00,3,13.6,26.0,eor
5705,2020-04-02 17:00:00,3,12.6,29.0,eor
5705,2020-04-02 18:00:00,3,10.7,32.0,eor
5705,2020-04-02 19:00:00,3,9.2,38.0,eor
5705,2020-04-02 20:00:00,3,7.8,42.0,eor
5705,2020-04-02 21:00:00,3,7.2,43.0,eor
5705,2020-04-02 22:00:00,3,6.5,49.0,eor
5705,2020-04-02 23:00:00,3,5.8,55.0,eor
5705,2020-04-03 00:00:00,3,5.8,57.0,eor
5705,2020-04-03 01:00:00,3,5.0,60.0,eor
5705,2020-04-03 02:00:00,3,2.7,70.0,eor
5705,2020-04-03 03:00:00,3,2.9,69.0,eor
5705,2020-04-03 04:00:00,3,2.7,70.0,eor
5705,2020-04-03 05:00:00,3,2.2,73.0,eor
5705,2020-04-03 06:00:00,3,2.8,72.0,eor
5705,2020-04-03 07:00:00,3,3.6,71.0,eor
5705,2020-04-03 08:00:00,3,5.3,67.0,eor
5705,2020-04-03 09:00:00,3,6.2,61.0,eor
5705,2020-04-03 10:00:00,3,7.3,59.0,eor
5705,2020-04-03 11:00:00,3,8.5,60.0,eor
5705,2020-04-03 12:00:00,3,10.6,57.0,eor
5705,2020-04-03 13:00:00,3,11.7,46.0,eor
5705,2020-04-03 14:00:00,3,10.7,47.0,eor
5705,2020-04-03 15:00:00,3,10.9,45.0,eor
5705,2020-04-03 16:00:00,3,10.9,48.0,eor
5705,2020-04-03 17:00:00,3,10.5,48.0,eor
5705,2020-04-03 18:00:00,3,10.0,44.0,eor
5705,2020-04-03 19:00:00,3,9.5,48.0,eor
5705,2020-04-03 20:00:00,3,8.9,51.0,eor
5705,2020-04-03 21:00:00,3,8.6,53.0,eor
5705,2020-04-03 22:00:00,3,8.0,55.0,eor
5705,2020-04-03 23:00:00,3,8.0,56.0,eor
5705,2020-04-04 00:00:00,3,7.1,60.0,eor
5705,2020-04-04 01:00:00,3,5.5,66.0,eor
5705,2020-04-04 02:00:00,3,4.3,71.0,eor
