year,week,risk,risk_days,temp_mean,rh_mean
2020,18,0,0,10.165277777777776,71.80555555555556
2020,19,1,3,13.591071428571428,59.95238095238095
2020,20,0,0,10.426190476190476,61.142857142857146
2020,21,1,5,16.457738095238092,62.04761904761905
2020,22,1,5,15.123809523809525,53.232142857142854
2020,23,1,3,15.789880952380953,66.24404761904762
2020,24,1,3,16.66845238095238,73.93452380952381
2020,25,1,7,17.452380952380953,76.72619047619048
2020,26,1,7,20.74404761904762,61.922619047619044
2020,27,1,7,19.719642857142855,63.01190476190476
2020,28,1,7,18.122619047619047,59.214285714285715
2020,29,1,6,18.460714285714285,61.726190476190474
2020,30,1,4,21.076785714285712,50.595238095238095
2020,31,1,4,23.061904761904763,48.827380952380956
2020,32,1,7,22.520833333333336,53.73809523809524
2020,33,1,7,23.589880952380952,68.39880952380953
2020,34,1,7,22.22797619047619,61.75595238095239
2020,35,1,5,17.73392857142857,64.05357142857143
2020,36,1,4,16.491666666666667,70.78571428571429
2020,37,1,6,18.19404761904762,62.28881987577639
2020,38,1,7,18.02202380952381,60.48809523809524
2020,39,1,4,14.304166666666665,73.51190476190477
2020,40,0,0,10.880555555555555,86.40277777777777
2021,17,0,0,9.029166666666667,69.625
2021,18,1,1,9.430357142857142,67.64285714285714
2021,19,1,1,13.004761904761905,78.22619047619047
2021,20,0,0,11.844642857142857,70.82738095238095
2021,21,0,0,11.732738095238094,71.81547619047619
2021,22,1,6,17.97142857142857,67.69642857142857
2021,23,1,7,19.01666666666667,74.43452380952381
2021,24,1,7,23.45952380952381,58.922619047619044
2021,25,1,7,19.40654761904762,76.25
2021,26,1,6,18.210714285714285,78.71428571428571
2021,27,1,7,17.65059523809524,84.89285714285714
2021,28,1,7,18.738690476190477,78.75595238095238
2021,29,1,7,20.06904761904762,66.32738095238095
2021,30,1,7,19.073809523809523,71.85119047619048
2021,31,1,7,16.60238095238095,80.77976190476191
2021,32,1,7,20.652380952380952,69.10119047619047
2021,33,1,6,17.300595238095237,78.33928571428571
2021,34,1,3,14.9125,81.32142857142857
2021,35,1,7,16.75952380952381,75.89880952380952
2021,36,1,7,19.146428571428572,72.92857142857143
2021,37,1,5,16.452096273291925,79.40916149068323
2021,38,1,3,14.508333333333335,72.44047619047619
2021,39,1,1,13.883333333333333,77.47916666666667
2022,17,0,0,11.525,77.25
2022,18,1,3,14.620833333333334,67.01785714285714
2022,19,1,7,18.15595238095238,56.470238095238095
2022,20,1,7,18.969642857142855,63.36309523809524
2022,21,1,4,15.136309523809524,61.50595238095237
2022,22,1,6,16.405357142857145,64.82738095238095
2022,23,1,7,18.349999999999998,65.60119047619047
2022,24,1,5,22.207738095238092,45.95833333333333
2022,25,1,7,21.13214285714286,59.529761904761905
2022,26,1,7,20.81011904761905,63.04166666666667
2022,27,1,4,19.19702380952381,53.3095238095238
2022,28,1,4,20.589285714285715,49.107142857142854
2022,29,1,4,24.74642857142857,47.45238095238095
2022,30,1,6,21.859523809523807,54.964285714285715
2022,31,1,5,23.874404761904763,45.672619047619044
2022,32,1,1,23.426190476190477,39.017857142857146
2022,33,1,7,21.952380952380953,61.107142857142854
2022,34,1,7,21.79940476190476,61.1904761904762
2022,35,1,7,19.05297619047619,58.226190476190474
2022,36,1,7,18.90357142857143,68.07738095238095
2022,37,1,4,14.137500000000001,80.79761904761905
2022,38,0,0,10.942857142857141,79.60714285714286
2022,39,0,0,9.266666666666666,83.425
